<<<<<<< HEAD
[10:14:44,645 DEBUG][Application 1][i.g.b.w.WebDriverManager.<init>] Using WebDriverManager 5.6.4  
[10:14:45,162 DEBUG][Application 1][i.g.b.w.c.ResolutionCache.checkKeyInResolutionCache] Resolution chrome=124 in cache (valid until 10:53:50 19/04/2024 IST)  
[10:14:45,164 DEBUG][Application 1][i.g.b.w.c.ResolutionCache.checkKeyInResolutionCache] Resolution chrome124=124.0.6367.60 in cache (valid until 09:53:50 20/04/2024 IST)  
[10:14:45,165 INFO][Application 1][i.g.b.w.WebDriverManager.resolveDriverVersion] Using chromedriver 124.0.6367.60 (resolved driver for Chrome 124)  
[10:14:45,216 DEBUG][Application 1][i.g.b.w.WebDriverManager.manage] Driver chromedriver 124.0.6367.60 found in cache  
[10:14:45,218 INFO][Application 1][i.g.b.w.WebDriverManager.exportDriver] Exporting webdriver.chrome.driver as C:\Users\na21279\.cache\selenium\chromedriver\win64\124.0.6367.60\chromedriver.exe  
[10:14:49,117 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Enter User Name  
[10:14:49,604 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Enter The Password   
[10:14:55,242 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Click On Login Page Successfully.   
[10:14:55,250 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] Verification Successful - The User is Login The Application  
[10:14:55,421 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Click On Logout Dropdown Button  
[10:14:56,218 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User click On Logout Button  
=======
<<<<<<< HEAD
[17:30:34,895 DEBUG][Application 1][i.g.b.w.WebDriverManager.<init>] Using WebDriverManager 5.6.4  
[17:30:35,173 DEBUG][Application 1][i.g.b.w.c.ResolutionCache.checkKeyInResolutionCache] Resolution chrome=123 in cache (valid until 18:29:06 18/04/2024 IST)  
[17:30:35,174 DEBUG][Application 1][i.g.b.w.c.ResolutionCache.checkKeyInResolutionCache] Resolution chrome123=123.0.6312.122 in cache (valid until 15:14:59 19/04/2024 IST)  
[17:30:35,175 INFO][Application 1][i.g.b.w.WebDriverManager.resolveDriverVersion] Using chromedriver 123.0.6312.122 (resolved driver for Chrome 123)  
[17:30:35,207 DEBUG][Application 1][i.g.b.w.WebDriverManager.manage] Driver chromedriver 123.0.6312.122 found in cache  
[17:30:35,208 INFO][Application 1][i.g.b.w.WebDriverManager.exportDriver] Exporting webdriver.chrome.driver as C:\WINDOWS\system32\config\systemprofile\.cache\selenium\chromedriver\win64\123.0.6312.122\chromedriver.exe  
[17:30:37,784 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Enter User Name  
[17:30:37,980 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Enter The Password   
[17:30:43,247 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Click On Login Page Successfully.   
[17:30:43,256 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] Verification Successful - The User is Login The Application  
[17:30:43,426 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Click On Logout Dropdown Button  
[17:30:43,882 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User click On Logout Button  
[17:30:46,587 DEBUG][Application 1][i.g.b.w.WebDriverManager.<init>] Using WebDriverManager 5.6.4  
[17:30:46,613 DEBUG][Application 1][i.g.b.w.c.ResolutionCache.checkKeyInResolutionCache] Resolution chrome=123 in cache (valid until 18:29:06 18/04/2024 IST)  
[17:30:46,614 DEBUG][Application 1][i.g.b.w.c.ResolutionCache.checkKeyInResolutionCache] Resolution chrome123=123.0.6312.122 in cache (valid until 15:14:59 19/04/2024 IST)  
[17:30:46,614 INFO][Application 1][i.g.b.w.WebDriverManager.resolveDriverVersion] Using chromedriver 123.0.6312.122 (resolved driver for Chrome 123)  
[17:30:46,623 DEBUG][Application 1][i.g.b.w.WebDriverManager.manage] Driver chromedriver 123.0.6312.122 found in cache  
[17:30:46,624 INFO][Application 1][i.g.b.w.WebDriverManager.exportDriver] Exporting webdriver.chrome.driver as C:\WINDOWS\system32\config\systemprofile\.cache\selenium\chromedriver\win64\123.0.6312.122\chromedriver.exe  
[17:30:48,255 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Enter User Name  
[17:30:48,631 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Enter The Password   
[17:30:54,133 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Click On Login Page Successfully.   
[17:30:54,158 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] Verification Successful - The User is Login The Application  
[17:30:56,424 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User able to Click On ApplicationDefinition  
[17:31:03,447 INFO][Application 1][c.Q.A.T.TestBase.LogInFo] User Select The Application Owner  
[17:31:07,120 INFO][Application 1][c.Q.D.JDBCDDTScript.JDBC_APPLICATION_ONBOARDING_DDT] User Select The Application Type  
